Symbol,Pin Number, Pin Name,Bank,Net Name
,D1,pcie_tx_n[1],,$17N2202
,D2,pcie_tx_p[1],,$17N2214
,A2,pcie_tx_n[0],,$17N2226
,B2,pcie_tx_p[0],,$17N2238
,A4,pcie_rx_n[1],,PE_FPGA_RX1_N
,B4,pcie_rx_p[1],,PE_FPGA_RX1_P
,A6,pcie_rx_n[0],,PE_FPGA_RX0_N
,B6,pcie_rx_p[0],,PE_FPGA_RX0_P
,A8,pcie_clk_n,,$17N2250
,B8,pcie_clk_p,,$17N2262
,G7,MGTAVTT_G7,,VMGTAVTT
,E2,MGTAVTT_E2,,VMGTAVTT
,C5,MGTAVTT_C5,,VMGTAVTT
,B1,MGTAVTT_B1,,VMGTAVTT
,H9,MGTAVCC_H9,,VMGTAVCC
,G9,MGTAVCC_G9,,VMGTAVCC
,F3,MGTAVCC_F3,,VMGTAVCC
,E1,MGTAVCC_E1,,VMGTAVCC
,C1,MGTAVCC_C1,,VMGTAVCC
,C7,MGTRREF_216,,_1N451
